3,54,BarattaAntonio,13-4-2022,1,0,
4,66,BarattaAntonio,14-4-2022,1,0,
5,86,BarattaAntonio,15-4-2022,1,0,
6,54,baratta,19-3-2022,0,0,
7,54,baratta,19-3-2022,0,0,
8,54,baratta,21-4-2022,0,0,
9,54,baratta,21-4-2022,0,0,
10,54,baratta,21-4-2022,0,0,
11,54,baratta,21-4-2022,0,0,
12,54,baratta,21-4-2022,0,0,
13,54,baratta,21-4-2022,0,0,
14,54,baratta,21-4-2022,0,0,
15,54,baratta,21-4-2022,0,0,
16,54,baratta,21-4-2022,0,0,
17,54,baratta,22-4-2022,0,0,
18,54,baratta,22-4-2022,0,0,
19,54,baratta,22-4-2022,0,0,
20,54,baratta,22-4-2022,0,0,
